original_smiles,adversarial_smiles,original_predictions,adversarial_predictions,tanimoto_similarities,prediction_changes,original_targets,model_architecture,dataset,GNN_adv_predictions,GNN_orig_predictions,GNN_pred_changes,GNN_attack_success,GREA_adv_predictions,GREA_orig_predictions,GREA_pred_changes,GREA_attack_success,GRIN_adv_predictions,GRIN_orig_predictions,GRIN_pred_changes,GRIN_attack_success,IRM_adv_predictions,IRM_orig_predictions,IRM_pred_changes,IRM_attack_success,LSTM_adv_predictions,LSTM_orig_predictions,LSTM_pred_changes,LSTM_attack_success,RPGNN_adv_predictions,RPGNN_orig_predictions,RPGNN_pred_changes,RPGNN_attack_success,SMILESTransformer_adv_predictions,SMILESTransformer_orig_predictions,SMILESTransformer_pred_changes,SMILESTransformer_attack_success
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,0.1512528955936432,0.1512528955936432,1.0,0.0,0.052256013007002076,BFGNN,delaney,0.22896230220794678,0.22896228730678558,1.4901161193847656e-08,0,0.2827422618865967,0.28274214267730713,1.1920928955078125e-07,0,-0.7321116328239441,-0.7321116328239441,0.0,0,0.04389117658138275,0.04389132559299469,1.4901161193847656e-07,0,-0.09789007902145386,-0.09789007902145386,0.0,0,-0.38079383969306946,-0.38079383969306946,0.0,0,0.20846696197986603,0.20846696197986603,0.0,0
c1ccc2cc3cc4ccccc4cc3cc2c1,c1ccc2cc(Oc3ccc4c(c3)OCCCO4)ccc2c1,-1.8572012186050415,-0.6797229647636414,0.28125,1.1774782538414001,-2.6774542964962276,BFGNN,delaney,-0.571694552898407,-1.8196700811386108,1.2479755282402039,1,-0.6898008584976196,-2.6844704151153564,1.9946695566177368,1,-0.9439614415168762,-1.583027720451355,0.6390662789344788,0,-0.35985714197158813,-0.6712281107902527,0.31137096881866455,0,-0.9427618384361267,-2.476787805557251,1.5340259671211243,1,-1.2493741512298584,-2.579191207885742,1.3298170566558838,1,-0.14207471907138824,-2.9701755046844482,2.82810078561306,1
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl,Clc1ccc(-c2c(Cl)cccc2Cl)c(Cl)c1Cl,-1.7978012561798096,-1.7880052328109741,0.4482758620689655,0.00979602336883545,-2.1141807405669897,BFGNN,delaney,-1.9734375476837158,-2.0756916999816895,0.10225415229797363,0,-2.410599708557129,-2.34169602394104,0.06890368461608887,0,-1.3810685873031616,-1.3894600868225098,0.008391499519348145,0,-0.5115516781806946,-0.6361573934555054,0.12460571527481079,0,-2.1159558296203613,-1.8605915307998657,0.2553642988204956,0,-2.2917423248291016,-2.3086585998535156,0.016916275024414062,0,-2.8627898693084717,-2.90830397605896,0.04551410675048828,0
OCC(O)C(O)C(O)C(O)CO,C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)CO,2.0969152450561523,2.0903351306915283,0.6470588235294118,0.0065801143646240234,1.9876061795331015,BFGNN,delaney,1.24666166305542,1.5531566143035889,0.30649495124816895,0,1.8827416896820068,2.278190851211548,0.395449161529541,0,-0.4581967294216156,-0.2809605896472931,0.1772361397743225,0,0.6366455554962158,0.6840260624885559,0.04738050699234009,0,-0.10505998134613037,1.8834800720214844,1.9885400533676147,1,1.3194526433944702,1.4557334184646606,0.13628077507019043,0,0.5879011154174805,1.9497631788253784,1.361862063407898,1
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,CC[C@]1(C(=O)[O-])C(=O)NC(=O)N[C@H]1C,0.16347454488277435,0.7458760738372803,0.2549019607843137,0.5824015289545059,0.16491072419284963,BFGNN,delaney,0.7666735649108887,0.06727546453475952,0.6993981003761292,0,0.7168556451797485,0.08459069579839706,0.6322649493813515,0,-0.26013073325157166,-0.6497884392738342,0.3896577060222626,0,0.6142159104347229,0.5102226734161377,0.1039932370185852,0,0.09783533960580826,0.14490501582622528,0.04706967622041702,0,0.4795788526535034,-0.10386203974485397,0.5834408923983574,0,0.1515185385942459,0.18837784230709076,0.03685930371284485,0
Fc1ccccc1,NC(=O)c1ccccc1F,0.8671927452087402,0.8803871273994446,0.2916666666666667,0.013194382190704346,0.5962723533489157,BFGNN,delaney,0.5700971484184265,0.5031741261482239,0.06692302227020264,0,0.8779488205909729,0.8255085349082947,0.05244028568267822,0,-0.30547505617141724,-0.39938509464263916,0.09391003847122192,0,0.22491832077503204,-0.07351091504096985,0.2984292358160019,0,0.8107615113258362,0.6521492600440979,0.15861225128173828,0,0.3986501693725586,0.3190400302410126,0.07961013913154602,0,1.1210218667984009,0.9613330364227295,0.1596888303756714,0
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,Clc1ccccc1-c1ccc(Cl)c(Cl)c1Cl,-1.4401321411132812,-1.3740909099578857,0.5909090909090909,0.06604123115539551,-2.0419661821145234,BFGNN,delaney,-1.6109936237335205,-1.6687783002853394,0.05778467655181885,0,-1.97084641456604,-1.9282231330871582,0.042623281478881836,0,-1.3178318738937378,-1.3245655298233032,0.00673365592956543,0,-0.5011216998100281,-0.4936016798019409,0.007520020008087158,0,-1.7311536073684692,-1.8582665920257568,0.1271129846572876,0,-1.9742398262023926,-1.9779276847839355,0.0036878585815429688,0,-2.3443453311920166,-2.4642274379730225,0.11988210678100586,0
O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,C[C@@H](O)CCC(=O)/C=C\C1(C)C(=O)NC(=O)NC1=O,0.3659016191959381,0.46155211329460144,0.3404255319148936,0.09565049409866333,0.32859705668510697,BFGNN,delaney,0.9171493053436279,0.3588177263736725,0.5583315789699554,0,0.9610263705253601,0.6594579219818115,0.3015684485435486,0,-0.511777937412262,-0.5370378494262695,0.02525991201400757,0,0.5662734508514404,0.5083675980567932,0.05790585279464722,0,0.11903516948223114,0.239511176943779,0.12047600746154785,0,0.2814122140407562,0.13122333586215973,0.1501888781785965,0,0.09437353909015656,0.6222834587097168,0.5279099196195602,0
CCCCCC(C)(C)O,CCCCCC(C)(C)O,0.6914566159248352,0.6914566159248352,1.0,0.0,0.6347867845235644,BFGNN,delaney,0.634638249874115,0.6346383094787598,5.960464477539063e-08,0,0.8541479110717773,0.8541478514671326,5.960464477539063e-08,0,-0.16533444821834564,-0.16533444821834564,0.0,0,0.19176609814167023,0.19176609814167023,0.0,0,0.6926037669181824,0.6926037669181824,0.0,0,0.6925452351570129,0.6925452351570129,0.0,0,1.706595540046692,1.706595540046692,0.0,0
Oc1c(Cl)cccc1Cl,Oc1c(Cl)cccc1Cl,0.793103039264679,0.793103039264679,1.0,0.0,0.6010866572457467,BFGNN,delaney,0.45069557428359985,0.45069560408592224,2.9802322387695312e-08,0,0.840093731880188,0.840093731880188,0.0,0,-0.600834310054779,-0.600834310054779,0.0,0,0.17655831575393677,0.17655831575393677,0.0,0,0.7281023263931274,0.7281023263931274,0.0,0,0.41753968596458435,0.41753968596458435,0.0,0,0.5698184370994568,0.5698184370994568,0.0,0
